post_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
47673360,Show HN: Brutalist Concrete Laptop Stand (2024),entertainment,203,91,sam-bee,2026-04-07 20:17:17,294,False
47673005,We found an undocumented bug in the Apollo 11 guidance computer code,technology,202,114,henrygarner,2026-04-07 20:17:18,316,False
47674027,Show HN: A cartographer's attempt to realistically map Tolkien's world,entertainment,65,12,intofarlands,2026-04-07 20:17:21,77,False
47672295,Every GPU That Mattered,technology,194,106,jonbaer,2026-04-07 20:17:23,300,False
47675013,Dropping Cloudflare for Bunny.net,technology,123,53,shintoist,2026-04-07 20:17:24,176,False
47627217,Running Out of Disk Space in Production,science,86,40,romes,2026-04-07 20:17:28,126,False
47673394,"Show HN: Stop paying for Dropbox/Google Drive, use your own S3 bucket instead",entertainment,142,122,Zm44,2026-04-07 20:17:30,264,False
47672318,Blackholing My Email,technology,104,7,semyonsh,2026-04-07 20:17:33,111,False
47673880,Show HN: Pion/handoff – Move WebRTC out of browser and into Go,entertainment,53,11,Sean-Der,2026-04-07 20:17:36,64,False
47673541,AI may be making us think and write more alike,technology,130,126,giuliomagnifico,2026-04-07 20:17:39,256,False
47616475,Haunting Photos Show the Aftermath of the Kursk Submarine Disaster in 2000,entertainment,63,10,mooreds,2026-04-07 20:17:43,73,False
47672778,Breaking the console: a brief history of video game security,sports,51,10,sprado,2026-04-07 20:17:44,61,False
47666024,Show HN: Ghost Pepper – Local hold-to-talk speech-to-text for macOS,entertainment,423,189,MattHart88,2026-04-07 20:17:55,612,True
47660925,Issue: Claude Code is unusable for complex engineering tasks with Feb updates,technology,1230,668,StanAngeloff,2026-04-07 20:17:56,1898,True
47670981,"Three hundred synths, 3 hardware projects, and one app",worldnews,89,10,ductionist,2026-04-07 20:17:58,99,False
47660954,German police name alleged leaders of GandCrab and REvil ransomware groups,worldnews,316,155,Bender,2026-04-07 20:18:11,471,True
47641528,Apollo Guidance Computer restoration videos,technology,78,11,mariuz,2026-04-07 20:18:14,89,False
